timestamp,pressure_values
03996586,099915
03996614,099915
03996642,099914
03996670,099914
03996698,099915
03996726,099915
03996754,099915
03996782,099914
03996810,099914
03996838,099915
03996866,099915
03996894,099915
03996922,099915
03996950,099914
03996978,099915
03997006,099915
03997034,099914
03997062,099915
03997090,099914
03997118,099914
03997146,099914
03997174,099914
03997202,099915
03997230,099915
03997258,099915
03997286,099914
03997314,099914
03997342,099915
03997370,099913
03997398,099915
03997426,099915
03997454,099914
03997482,099914
03997510,099914
03997538,099914
03997566,099914
03997594,099914
03997622,099914
03997650,099914
03997678,099914
03997706,099915
03997734,099914
03997762,099914
03997790,099914
03997818,099915
03997846,099914
03997874,099914
03997902,099914
03997930,099915
03997958,099914
03997986,099914
03998014,099915
03998042,099914
03998070,099914
03998098,099914
03998126,099914
03998154,099914
03998182,099914
03998210,099914
03998238,099914
03998266,099914
03998294,099914
03998322,099914
03998350,099914
03998378,099914
03998406,099915
03998434,099914
03998462,099913
03998490,099915
03998518,099915
03998546,099914
03998574,099914
03998602,099914
03998630,099914
03998658,099914
03998686,099914
03998714,099915
03998742,099914
03998770,099914
03998798,099914
03998826,099914
03998854,099914
03998882,099914
03998910,099914
03998938,099914
03998966,099913
03998994,099913
03999022,099913
03999050,099914
03999078,099914
03999106,099914
03999134,099914
03999162,099914
03999190,099914
03999218,099914
03999246,099914
03999274,099914
03999302,099914
03999330,099914
03999358,099914
03999386,099914
03999414,099914
03999442,099913
03999470,099913
03999498,099914
03999526,099914
03999554,099913
03999582,099914
03999610,099914
03999638,099913
03999666,099914
03999694,099913
03999722,099914
03999750,099914
03999778,099913
03999806,099913
03999834,099913
03999862,099913
03999890,099914
03999918,099913
03999946,099914
03999974,099914
04000002,099914
04000030,099914
04000058,099914
04000086,099914
04000114,099914
04000142,099914
04000170,099914
04000198,099914
04000226,099914
04000254,099914
04000282,099914
04000310,099914
04000338,099913
04000366,099913
04000394,099914
04000422,099913
04000450,099914
04000478,099914
04000506,099914
04000534,099913
04000562,099914
04000590,099913
04000618,099914
04000646,099914
04000674,099914
04000702,099913
04000730,099913
04000758,099914
04000786,099913
04000814,099914
04000842,099914
04000870,099913
04000898,099914
04000926,099913
04000954,099914
04000982,099914
04001010,099913
04001038,099913
04001066,099913
04001094,099914
04001122,099914
04001150,099913
04001178,099914
04001206,099913
04001233,099914
04001261,099913
04001289,099913
04001317,099913
04001345,099913
04001373,099913
04001401,099913
04001429,099913
04001457,099912
04001485,099913
04001513,099913
04001541,099913
04001569,099912
04001597,099913
04001625,099913
04001653,099913
04001681,099913
04001709,099913
04001737,099912
04001765,099912
04001793,099913
04001821,099914
04001849,099913
04001877,099913
04001905,099913
04001933,099913
04001961,099912
04001989,099913
04002017,099912
04002045,099913
04002073,099912
04002101,099913
04002129,099913
04002157,099913
04002185,099912
04002213,099913
04002241,099913
04002269,099913
04002297,099913
04002325,099913
04002353,099913
04002381,099913
04002409,099913
04002437,099912
04002465,099913
04002493,099913
04002521,099913
04002549,099913
04002577,099913
04002605,099912
04002633,099912
04002661,099912
04002689,099912
04002717,099912
04002745,099912
04002773,099913
04002801,099912
04002829,099912
04002857,099912
04002885,099913
04002913,099912
04002941,099912
04002969,099913
04002997,099913
04003025,099912
04003053,099912
04003081,099913
04003109,099912
04003137,099913
04003165,099912
04003193,099912
04003221,099913
04003249,099911
04003277,099912
04003305,099912
04003333,099912
04003361,099912
04003389,099912
04003417,099913
04003445,099913
04003473,099912
04003501,099912
04003529,099912
04003557,099912
04003585,099912
04003613,099913
04003641,099912
04003669,099912
04003697,099912
04003725,099912
04003753,099911
04003781,099912
04003809,099912
04003837,099912
04003865,099913
04003893,099911
04003921,099912
04003949,099912
04003977,099911
04004005,099912
04004033,099912
04004061,099913
04004089,099912
04004117,099912
04004145,099913
04004173,099912
04004201,099912
04004229,099912
04004257,099912
04004285,099912
04004313,099912
04004341,099912
04004369,099911
04004397,099911
04004425,099912
04004453,099911
04004481,099913
04004509,099912
04004537,099912
04004565,099911
04004593,099912
04004621,099912
04004649,099912
04004677,099912
04004705,099912
04004733,099912
04004761,099912
04004789,099912
04004817,099912
04004845,099912
04004873,099911
04004901,099912
04004929,099912
04004957,099912
04004985,099911
04005013,099912
04005041,099912
04005069,099911
04005097,099912
04005125,099912
04005153,099911
04005181,099912
04005209,099911
04005237,099912
04005265,099911
04005293,099912
04005321,099911
04005349,099912
04005377,099911
04005405,099912
04005433,099912
04005461,099912
04005489,099912
04005517,099912
04005545,099911
04005573,099912
04005601,099911
04005629,099911
04005657,099911
04005685,099911
04005713,099912
04005741,099912
04005769,099912
04005797,099912
04005825,099911
04005853,099912
04005881,099912
04005909,099911
04005937,099912
04005965,099911
04005993,099912
04006021,099911
04006049,099912
04006077,099912
04006105,099911
04006133,099911
04006161,099912
04006189,099911
04006217,099912
04006245,099911
04006273,099911
04006301,099912
04006329,099911
04006357,099911
04006385,099911
04006413,099912
04006441,099911
04006469,099911
04006497,099912
04006525,099912
04006553,099912
04006581,099911
04006609,099911
04006637,099911
04006665,099912
04006693,099912
04006721,099912
04006749,099912
04006777,099912
04006805,099912
